Time difference of 2.118694 hours
[1] "==============="
Heteroscedastic Discriminant Analysis 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 720, 720, 720, 720, ... 

Resampling results across tuning parameters:

  gamma  lambda  newdim  Accuracy  Kappa  Accuracy SD  Kappa SD
  0.264  0.8182   3        NaN       NaN      NA           NA  
  0.264  0.8182   4        NaN       NaN      NA           NA  
  0.264  0.8182   5        NaN       NaN      NA           NA  
  0.264  0.8182   6        NaN       NaN      NA           NA  
  0.264  0.8182   7        NaN       NaN      NA           NA  
  0.264  0.8182   8      0.690     0.382  0.0385       0.0764  
  0.264  0.8182   9      0.700     0.402  0.0419       0.0832  
  0.264  0.8182  10      0.698     0.398  0.0423       0.0839  
  0.264  0.8182  11      0.699     0.400  0.0403       0.0800  
  0.264  0.8182  12      0.699     0.400  0.0436       0.0864  
  0.264  0.9091   2        NaN       NaN      NA           NA  
  0.264  0.9091   3        NaN       NaN      NA           NA  
  0.264  0.9091   4        NaN       NaN      NA           NA  
  0.264  0.9091   5        NaN       NaN      NA           NA  
  0.264  0.9091   6        NaN       NaN      NA           NA  
  0.264  0.9091   7        NaN       NaN      NA           NA  
  0.264  0.9091   8      0.736     0.474  0.0429       0.0858  
  0.264  0.9091   9      0.736     0.474  0.0396       0.0789  
  0.264  0.9091  10      0.731     0.464  0.0400       0.0797  
  0.264  0.9091  11      0.728     0.458  0.0414       0.0826  
  0.264  0.9091  12      0.731     0.464  0.0417       0.0831  
  0.264  1.0000   2        NaN       NaN      NA           NA  
  0.264  1.0000   3        NaN       NaN      NA           NA  
  0.264  1.0000   4        NaN       NaN      NA           NA  
  0.264  1.0000   5        NaN       NaN      NA           NA  
  0.264  1.0000   6        NaN       NaN      NA           NA  
  0.264  1.0000   7        NaN       NaN      NA           NA  
  0.264  1.0000   8      0.769     0.538  0.0382       0.0764  
  0.264  1.0000   9      0.769     0.538  0.0425       0.0847  
  0.264  1.0000  10      0.768     0.537  0.0403       0.0804  
  0.264  1.0000  11      0.764     0.528  0.0442       0.0881  
  0.264  1.0000  12      0.766     0.533  0.0417       0.0833  
  0.345  0.0000   2        NaN       NaN      NA           NA  
  0.345  0.0000   3        NaN       NaN      NA           NA  
  0.345  0.0000   4        NaN       NaN      NA           NA  
  0.345  0.0000   5        NaN       NaN      NA           NA  
  0.345  0.0000   6        NaN       NaN      NA           NA  
  0.345  0.0000   7        NaN       NaN      NA           NA  
  0.345  0.0000   8      0.618     0.238  0.0292       0.0586  
  0.345  0.0000   9      0.616     0.234  0.0415       0.0831  
  0.345  0.0000  10      0.609     0.219  0.0437       0.0876  
  0.345  0.0000  11      0.620     0.242  0.0466       0.0935  
  0.345  0.0000  12      0.616     0.234  0.0409       0.0818  
  0.345  0.0909   2        NaN       NaN      NA           NA  
